"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.050957126E2,7.776737213E0,2.869135700E-2,7.332181931E0
4.051457126E2,7.384782314E0,1.540060714E-2,7.202905655E0
4.051957126E2,7.375939369E0,-9.687027335E-2,6.955532074E0
4.052457126E2,6.781853676E0,-1.007248163E-1,6.613070488E0
4.052957126E2,6.073270798E0,3.018979728E-2,5.830576897E0
4.053457126E2,6.669822693E0,-1.422898620E-1,6.607360363E0
4.053957126E2,7.449585915E0,5.640017334E-3,6.742387772E0
4.054457126E2,5.786015034E0,3.292072192E-2,5.824500084E0
4.054957126E2,6.818070889E0,-6.739087403E-2,6.442600250E0
4.055457126E2,7.021350384E0,-9.913788736E-2,6.707616329E0
4.055957126E2,7.388436317E0,-7.952935994E-2,7.179994106E0
4.056457126E2,9.063011169E0,5.040829256E-2,8.419672012E0
4.056957126E2,8.547143936E0,-1.646326855E-2,8.037949562E0
4.057457126E2,7.799187183E0,-1.450455636E-1,7.686920166E0
4.057957126E2,7.441189766E0,-8.687893860E-3,6.884051323E0
4.058457126E2,5.698019028E0,-7.670651376E-2,5.832537651E0
4.058957126E2,7.082079887E0,-5.935423076E-2,6.585124016E0
4.059457126E2,6.207731724E0,-4.749080911E-2,6.131927967E0
4.059957126E2,7.141353130E0,-5.251615494E-2,6.624029160E0
4.060457126E2,6.202760220E0,-4.032771289E-2,6.030310631E0
4.060957126E2,6.297817230E0,-6.930789351E-2,6.170956135E0
4.061457126E2,5.944992542E0,4.640227184E-3,5.509793282E0
4.061957126E2,8.460536957E0,-1.421289444E-1,8.396661758E0
4.062457126E2,7.700497627E0,6.934753805E-2,6.664958954E0
4.062957126E2,6.663742065E0,-1.531013101E-1,7.303527832E0
4.063457126E2,9.349544525E0,4.536148906E-2,8.072533607E0
4.063957126E2,8.107705116E0,-1.306737363E-1,8.214880943E0
4.064457126E2,8.717853546E0,-8.422186226E-2,8.274009705E0
4.064957126E2,7.779845238E0,1.103901565E-1,6.976751328E0
4.065457126E2,4.323353767E0,-1.402831078E-1,4.808917999E0
4.065957126E2,7.534002304E0,-1.155557707E-1,6.874967575E0
4.066457126E2,6.414101124E0,3.870200366E-2,5.982775688E0
4.066957126E2,4.343559265E0,-1.418408304E-1,4.765840054E0
4.067457126E2,8.582292557E0,-2.347763628E-3,7.688457489E0
4.067957126E2,5.704607487E0,-3.261407092E-2,5.457786560E0
4.068457126E2,5.384675980E0,-2.190073393E-2,5.777185440E0
4.068957126E2,8.503336906E0,-8.857443929E-3,7.253062248E0
4.069457126E2,6.641545296E0,-1.172224283E-1,6.985850334E0
4.069957126E2,1.047065353E1,-1.138161123E-2,9.249542236E0
4.070457126E2,8.025453568E0,5.876030773E-2,8.084518433E0
4.070957126E2,8.700237274E0,-1.582992971E-1,8.071041107E0
4.071457126E2,7.192382812E0,1.816763356E-2,6.650851250E0
4.071957126E2,5.199505806E0,-2.503499016E-2,5.357089043E0
4.072457126E2,6.780069828E0,-4.741257429E-2,6.277493477E0
4.072957126E2,5.115810871E0,-1.158957183E-1,5.122059345E0
4.073457126E2,6.994269371E0,-9.067133069E-2,6.627425671E0
4.073957126E2,6.120800972E0,4.890820384E-2,5.505844593E0
4.074457126E2,6.052361488E0,-2.873034030E-2,6.433653355E0
4.074957126E2,8.323509216E0,-6.987729575E-3,7.117887497E0
4.075457126E2,6.995573044E0,-1.479685307E-1,7.189274788E0
4.075957126E2,8.584968567E0,-9.774255753E-2,8.105226517E0
4.076457126E2,8.896938324E0,7.790785283E-2,8.083800316E0
4.076957126E2,6.828814030E0,-1.354570091E-1,7.154419899E0
4.077457126E2,8.179324150E0,-5.291327462E-2,7.298381329E0
4.077957126E2,6.616497993E0,5.241761729E-2,6.635728836E0
4.078457126E2,6.539249420E0,-7.568074763E-2,6.142504692E0
4.078957126E2,6.021767616E0,-4.913713038E-2,5.920033932E0
4.079457126E2,7.242695332E0,-6.222878024E-2,6.816890240E0
4.079957126E2,6.258630753E0,3.328629956E-2,5.909142017E0
4.080457126E2,6.238621712E0,-8.719848096E-2,6.183391571E0
4.080957126E2,7.245861053E0,-6.373704225E-2,6.771788597E0
4.081457126E2,6.162235260E0,-5.974011868E-2,5.968150139E0
4.081957126E2,6.547270775E0,-4.053256661E-2,6.502231598E0
4.082457126E2,8.568893433E0,-1.589780487E-2,7.729960442E0
4.082957126E2,7.862020969E0,-1.154516339E-1,7.733361244E0
4.083457126E2,8.067161560E0,6.240046769E-2,7.379204273E0
4.083957126E2,7.724099159E0,-1.200725883E-1,7.613623142E0
4.084457126E2,7.219491959E0,-4.501523823E-2,6.729398727E0
