"Time (s)","Pressure (hPa)"
2.059858976E2,9.773801880E2
2.060358976E2,9.773799438E2
2.060858976E2,9.773796997E2
2.061358976E2,9.773796387E2
2.061858976E2,9.773794556E2
2.062358976E2,9.773793335E2
2.062858976E2,9.773789673E2
2.063358976E2,9.773786621E2
2.063858976E2,9.773783569E2
2.064358976E2,9.773778687E2
2.064858976E2,9.773772583E2
2.065358976E2,9.773767090E2
2.065858976E2,9.773761597E2
2.066358976E2,9.773755493E2
2.066858976E2,9.773751831E2
2.067358976E2,9.773749390E2
2.067858976E2,9.773742676E2
2.068358976E2,9.773740234E2
2.068858976E2,9.773737793E2
2.069358976E2,9.773734131E2
2.069858976E2,9.773729858E2
2.070358976E2,9.773721924E2
2.070858976E2,9.773717651E2
2.071358976E2,9.773713379E2
2.071858976E2,9.773709106E2
2.072358976E2,9.773703003E2
2.072858976E2,9.773696899E2
2.073358976E2,9.773694458E2
2.073858976E2,9.773690796E2
2.074358976E2,9.773687134E2
2.074858976E2,9.773684082E2
2.075358976E2,9.773679810E2
2.075858976E2,9.773675537E2
2.076358976E2,9.773671265E2
2.076858976E2,9.773666382E2
2.077358976E2,9.773660889E2
2.077858976E2,9.773655396E2
2.078358976E2,9.773651123E2
2.078858976E2,9.773646240E2
2.079358976E2,9.773641968E2
2.079858976E2,9.773637085E2
2.080358976E2,9.773632812E2
2.080858976E2,9.773629150E2
2.081358976E2,9.773626099E2
2.081858976E2,9.773618774E2
2.082358976E2,9.773613892E2
2.082858976E2,9.773609619E2
2.083358976E2,9.773604736E2
2.083858976E2,9.773600464E2
2.084358976E2,9.773597412E2
2.084858976E2,9.773594971E2
2.085358976E2,9.773591309E2
2.085858976E2,9.773587036E2
2.086358976E2,9.773583984E2
2.086858976E2,9.773577881E2
2.087358976E2,9.773574219E2
2.087858976E2,9.773571167E2
2.088358976E2,9.773566895E2
2.088858976E2,9.773562012E2
2.089358976E2,9.773559570E2
2.089858976E2,9.773557739E2
2.090358976E2,9.773555298E2
2.090858976E2,9.773553467E2
2.091358976E2,9.773552246E2
2.091858976E2,9.773549805E2
2.092358976E2,9.773546143E2
2.092858976E2,9.773541260E2
2.093358976E2,9.773536987E2
2.093858976E2,9.773531494E2
2.094358976E2,9.773526611E2
2.094858976E2,9.773521729E2
2.095358976E2,9.773515625E2
2.095858976E2,9.773511353E2
2.096358976E2,9.773506470E2
2.096858976E2,9.773501587E2
2.097358976E2,9.773496704E2
2.097858976E2,9.773491211E2
2.098358976E2,9.773485718E2
2.098858976E2,9.773478394E2
2.099358976E2,9.773471680E2
2.099858976E2,9.773464355E2
2.100358976E2,9.773457642E2
2.100858976E2,9.773450928E2
2.101358976E2,9.773443604E2
2.101858976E2,9.773435669E2
2.102358976E2,9.773426514E2
2.102858976E2,9.773418579E2
2.103358976E2,9.773411255E2
2.103858976E2,9.773403931E2
2.104358976E2,9.773397217E2
2.104858976E2,9.773390503E2
2.105358974E2,9.773383789E2
2.105858974E2,9.773377075E2
2.106358974E2,9.773370972E2
2.106858974E2,9.773364258E2
