"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
6.336788358E2,1.842432022E0,1.282679749E1,1.551391602E1
6.337288358E2,1.106788635E0,1.390414429E1,1.409624481E1
6.337788358E2,1.725269318E0,1.409272766E1,1.368023682E1
6.338288358E2,2.463913918E0,1.659967041E1,1.519571686E1
6.338788358E2,2.828563690E0,1.785933685E1,1.546395111E1
6.339288358E2,2.754569054E0,1.989392090E1,1.460044098E1
6.339788358E2,4.794913292E0,2.092089844E1,1.446731567E1
6.340288358E2,4.822063446E0,2.171079254E1,1.375916290E1
6.340788358E2,5.121823311E0,2.156988525E1,1.362374115E1
6.341288358E2,4.088909149E0,2.245448303E1,1.402336121E1
6.341788358E2,4.088909149E0,2.245448303E1,1.402336121E1
6.342288358E2,6.321014404E0,2.426396942E1,1.430229950E1
6.342788358E2,5.517539024E0,2.344908905E1,1.430447388E1
6.343288358E2,7.445879936E0,2.540478516E1,1.429925537E1
6.343788358E2,6.557818413E0,2.680371857E1,1.161797333E1
6.344288358E2,7.921468735E0,2.623268127E1,1.219651031E1
6.344788358E2,8.561669350E0,2.705319214E1,1.121398163E1
6.345288358E2,6.821323395E0,2.930807495E1,1.173085022E1
6.345788358E2,8.598164558E0,2.783070374E1,1.148484802E1
6.346288358E2,7.716507912E0,2.872558594E1,1.160607910E1
6.346788358E2,7.466773987E0,2.995643616E1,1.200882721E1
6.347288358E2,7.334473610E0,3.041652679E1,1.214204407E1
6.347788358E2,6.733798981E0,3.103023529E1,1.087088776E1
6.348288358E2,5.957293510E0,3.067514801E1,1.156704712E1
6.348788358E2,7.646610260E0,3.091993713E1,1.046109009E1
6.349288358E2,7.274098396E0,3.292859650E1,1.057392883E1
6.349788358E2,5.297489166E0,3.363408661E1,9.568710327E0
6.350288358E2,6.938114166E0,3.278717041E1,8.335273743E0
6.350788358E2,5.705248833E0,3.256976318E1,8.885803223E0
6.351288358E2,6.506233215E0,3.371829987E1,7.201766968E0
6.351788358E2,7.863538742E0,3.674394989E1,6.899101257E0
6.352288358E2,6.678029060E0,3.762001038E1,7.437240601E0
6.352788358E2,7.890598297E0,3.736878967E1,6.892021179E0
6.353288358E2,5.993743896E0,3.978551483E1,6.426757812E0
6.353788358E2,8.467483521E0,4.020971680E1,6.164863586E0
6.354288358E2,7.118879318E0,4.142151642E1,4.320503235E0
6.354788358E2,6.317893982E0,4.027298737E1,6.004539490E0
6.355288358E2,7.247234344E0,4.405938721E1,5.689010620E0
6.355788358E2,8.307209015E0,4.379962921E1,5.282318115E0
6.356288358E2,9.562859535E0,4.415201569E1,6.408340454E0
6.356788358E2,8.408683777E0,4.614278412E1,5.255775452E0
6.357288358E2,9.911818504E0,4.902076721E1,4.816345215E0
6.357788358E2,9.765988350E0,4.916843414E1,4.953102112E0
6.358288358E2,1.164296913E1,5.003597260E1,4.540695190E0
6.358788358E2,1.030085945E1,5.090880585E1,4.797775269E0
6.359288358E2,1.065758896E1,5.234416199E1,3.525772095E0
6.359788358E2,1.302626896E1,5.418341064E1,1.987869263E0
6.360288358E2,1.295476437E1,5.588433838E1,2.806221008E0
6.360788358E2,1.394207954E1,5.765740967E1,1.675888062E0
6.361288358E2,1.620124435E1,6.009172058E1,1.947746277E0
6.361788358E2,1.611371994E1,6.181388855E1,1.087783813E0
6.362288358E2,1.701157379E1,6.122786713E1,1.242729187E0
6.362788358E2,1.701157379E1,6.122786713E1,1.242729187E0
6.363288358E2,1.962838554E1,6.134287262E1,1.265419006E0
