"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.819896000E2,-1.244619023E-2,5.150642619E-2,3.763362765E-2
3.820396000E2,-1.956366701E-3,-3.191247582E-2,6.874193251E-2
3.820896000E2,4.476116225E-2,2.791564167E-2,-2.413794631E-3
3.821396000E2,2.776500769E-2,-5.455338955E-2,-7.551681250E-2
3.821896000E2,4.719303176E-2,2.067323402E-2,-2.000980452E-2
3.822396000E2,4.692756757E-2,-4.472599179E-2,4.990588129E-2
3.822896000E2,2.011194453E-2,5.583825335E-2,2.374381572E-2
3.823396000E2,1.777140610E-2,-4.969772324E-2,-3.281196952E-2
3.823896000E2,2.013430558E-2,9.637321346E-3,-3.680086136E-2
3.824396000E2,2.450406924E-2,1.727478579E-2,4.322524369E-2
3.824896000E2,3.172213212E-2,-5.363718048E-2,4.679323733E-2
3.825396000E2,4.164800420E-2,3.333153203E-2,-3.519234806E-2
3.825896000E2,2.198513784E-2,2.749823965E-3,-4.993437976E-2
3.826396000E2,4.438776895E-2,1.190214325E-2,-5.910149775E-5
3.826896000E2,5.611163750E-2,-4.789354280E-4,2.802474611E-2
3.827396000E2,4.129522666E-2,1.183435414E-2,3.280945867E-2
3.827896000E2,1.748545468E-2,-5.079990253E-3,2.147034509E-3
3.828396000E2,1.991978101E-2,-3.901769407E-3,-2.118123136E-2
3.828896000E2,1.611864381E-2,-9.178425185E-3,1.301784441E-2
3.829396000E2,-5.826083012E-3,4.096006602E-2,2.625893056E-2
3.829896000E2,-1.936547225E-3,6.255989894E-3,-2.715753391E-2
3.830396000E2,-2.713913843E-2,-4.644561931E-2,-3.873625025E-2
3.830896000E2,-4.129453376E-2,3.483882919E-2,1.077487506E-2
3.831396000E2,6.943303160E-3,-4.508914426E-2,4.445613921E-2
3.831896000E2,-3.856732277E-3,2.232858539E-2,-2.672774019E-3
3.832396000E2,1.483438443E-2,-2.334777266E-3,-5.354782939E-2
3.832896000E2,3.863301594E-3,-1.613606513E-2,1.857596077E-2
3.833396000E2,-2.537622349E-3,-1.026112353E-3,3.094536066E-2
